id,monto
47,25459.47
48,52090.95
52,60101.21
101,614961.6
101,614961.6
101,614961.6
101,614961.6
262,328657.93
262,328657.93
264,283833.97
264,283833.97
430,325065.37
432,110763.29
432,110763.29
435,217964.55
448,200605.19
448,200605.19
448,200605.19
454,341553.12
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
480,1417553
541,79543.95
544,324101.79
577,900000
687,10217.21
787,185832.64
801,76044
871,89743.21
936,176149.84
936,176149.84
939,261332.23
939,261332.23
940,58310.85
940,58310.85
942,19563.3
945,51384.94
1006,131518.7
1065,222619
1145,153429.49
1145,153429.49
1145,153429.49
1213,45761.89
1293,24040.48
1322,1360350
1322,1360350
1324,155481.35
1324,155481.35
1325,1277634.58
1325,1277634.58
1325,1277634.58
1325,1277634.58
1325,1277634.58
1352,151200
1393,42300
1486,330000
1486,330000
1486,330000
1486,330000
1486,330000
1486,330000
1488,435800
1488,435800
1488,435800
1505,44105.89
1532,215650.43
1551,260081.54
1551,260081.54
1551,260081.54
1553,39394.49
1559,54100.6
1559,54100.6
1559,54100.6
1564,104986.62
1565,64447.26
1566,46148.6
1567,56762.9
1567,56762.9
1568,24415.51
1569,387625.13
1569,387625.13
1573,252544.36
1574,62832.62
1574,62832.62
1576,28111.6
1576,28111.6
1576,28111.6
1577,329193.03
1577,329193.03
1577,329193.03
1577,329193.03
1578,310685.15
1578,310685.15
1578,310685.15
1581,113038.97
1620,68968.5
1636,22061.52
1685,333824
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1709,273000
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1710,502181.1
1722,140842.99
1770,155429
1802,165710
1803,62412
1803,62412
1804,171956
1854,95790
1854,95790
1854,95790
1854,95790
1885,231172.57
1885,231172.57
1885,231172.57
1885,231172.57
1885,231172.57
1885,231172.57
1926,100000
1944,129008.1
1944,129008.1
1944,129008.1
1949,33802.63
1949,33802.63
1950,100169.02
1950,100169.02
1950,100169.02
1952,366037.46
1952,366037.46
1952,366037.46
1962,100721.62
1963,62000
1963,62000
1963,62000
1964,307582.36
1965,30000
1966,45000
1968,369541.8
1970,258493.35
1970,258493.35
1972,374361
1972,374361
1973,113498.21
1973,113498.21
1974,322505
1988,102000
1988,102000
2000,335501.13
2000,335501.13
2000,335501.13
2000,335501.13
2000,335501.13
2000,335501.13
2000,335501.13
2048,64974.87
2056,956236
2056,956236
2056,956236
2056,956236
2061,181760
2061,181760
2061,181760
2107,368517
2107,368517
2109,103790
2110,227000
2135,88451.3
2136,92912.65
2166,324541
2166,324541
2166,324541
2166,324541
2196,289021
2202,4246000
2204,200000
2211,428754
2222,355672
2226,125210
2247,870000
2250,432660
2255,468099.22
2259,482013.85
2259,482013.85
2259,482013.85
2264,475878.31
2268,532479.25
2271,351750.87
2280,240000
2280,240000
2280,240000
2280,240000
2175,250000
2301,226725
2334,360819
2334,360819
2334,360819
2341,369227
2342,18654
2342,18654
2342,18654
2344,65337
2344,65337
2345,357131
2345,357131
2353,19710
2356,6510
2369,362517
2387,103494
2457,497870
2461,80551
2466,270000
2470,449813
2471,252441
2472,30000
2481,120000
2511,4477612
2539,201705
2590,1200000
4991,555710.03
4991,555710.03
6032,69968.5
10060,54720000
10060,54720000
10060,54720000
10088,74999
10089,29966.24
10091,220000
10091,220000
10091,220000
10091,220000
10095,220000
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10106,88271.74
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10112,164674.25
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10113,110268.94
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10114,175000
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10115,175226.44
10175,1209291.03
10183,340898.61
10183,340898.61
10183,340898.61
10183,340898.61
10183,340898.61
10193,7025636.08
10207,69020.33
10238,283135
11259,71341
11273,77973
11279,168171
11279,168171
11279,168171
11289,8000
11289,8000
11291,2701071
11291,2701071
11291,2701071
11291,2701071
11291,2701071
11291,2701071
11291,2701071
13319,306738
13319,306738
13321,306310
13324,250000
13324,250000
13324,250000
13382,1780095.19
13382,1780095.19
13382,1780095.19
13382,1780095.19
14388,300000
14388,300000
14405,32358.29
14409,52000
14409,52000
14409,52000
14409,52000
14410,220000
20442,300000
20442,300000
20460,305124.4
20460,305124.4
20460,305124.4
21479,22714.78
21480,41948.89
21481,100000
21481,100000
669,176738
1552,241709.73
1552,241709.73
1561,45378.5
2289,258500
2216,61260
